bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
7761,93783,5716350,1361,2653795,0,0
10708,364996,22010251,1986,10457759,0,0
45894,350833,22437198,8184,10433720,0,0
14321,182272,10379728,2434,4776312,0,0
21148,373789,21781002,3786,10323039,0,0
14697,184500,10923542,2559,5158943,0,0
10253,288455,16860462,1789,7979164,0,0
11349,201007,11309444,1947,5264735,0,0
8826,130585,8029922,1501,3738955,0,0
7070,359507,21542571,1175,10381352,0,0
6928,183337,10794803,1059,5127301,0,0
7986,368431,21717030,1244,10394172,0,0
10593,249196,13852644,1801,6552443,0,0
12501,309403,17261706,2112,8212934,0,0
9864,196430,11247112,1703,5279473,0,0
12664,392161,22197494,2079,10502829,0,0
12041,305826,16848439,2101,7893812,0,0
13262,355832,22392311,2325,10637881,0,0
13525,176712,10489648,2339,4887875,0,0
13881,395665,21974785,2398,10433095,0,0
15714,373382,22396619,2762,10659428,0,0
18803,369832,21984433,3255,10419904,0,0
16475,262120,15889628,2878,7488063,0,0
8128,86563,5744488,1368,2680345,0,0
8439,160123,10319118,1437,4895145,0,0
16981,360370,22007871,2988,10389441,0,0
8858,85209,5181974,1499,2375098,0,0
9322,358232,22302451,1637,10604518,0,0
17351,367018,21554900,3071,10217522,0,0
15432,186352,10963233,2627,5092330,0,0
42494,347608,22039447,7538,10299523,0,0
17896,290923,16919336,3155,7953744,0,0
17856,377787,21944254,3082,10495774,0,0
8992,83438,4785969,1568,2166901,0,0
5179,96404,5619147,868,2619659,0,0
12645,382882,22125075,2235,10476161,0,0
8254,176710,11220645,1383,5320943,0,0
5658,38273,2483419,924,1105357,0,0
7135,374297,22173858,1213,10677206,0,0
7176,383539,22392179,1137,10749660,0,0
14376,278802,15486292,2347,7353249,0,0
9606,100129,5741510,1601,2689953,0,0
7771,180962,10017401,1327,4786437,0,0
4606,10570,626389,763,212054,0,0
7478,185692,10633736,1204,5031554,0,0
4054,33132,1878414,735,841330,0,0
7705,362747,20257548,1365,9678413,0,0
16089,371405,22223346,2818,10591867,0,0
11272,91996,5709217,1927,2608741,0,0
11562,368695,21987868,2007,10497812,0,0
14938,294529,16811236,2549,7939942,0,0
14893,373829,22407345,2667,10604310,0,0
15105,177251,10850644,2498,5073957,0,0
11083,376321,22203137,1970,10679053,0,0
17001,280958,16911374,2949,7978833,0,0
13388,188197,11300278,2302,5272632,0,0
4253,88390,5229193,740,2462064,0,0
10124,190315,11272286,1772,5312957,0,0
18533,370715,22193655,3213,10461979,0,0
14139,346828,21549166,2461,10198394,0,0
14771,171203,10517586,2455,4943542,0,0
7844,186940,10965514,1347,5264012,0,0
14853,290061,16884258,2565,7956725,0,0
11209,359693,21611976,2019,10343718,0,0
39295,183861,11136354,6711,5092531,0,0
17756,389834,22162165,3247,10514949,0,0
6527,78779,4753216,1171,2199950,0,0
11246,389904,22307080,2038,10639541,0,0
14206,357941,22395347,2529,10675360,0,0
5174,32985,1963518,889,875918,0,0
5934,187184,11077153,943,5272589,0,0
7012,370669,22087675,1177,10509744,0,0
7109,189961,11090457,1132,5262370,0,0
12814,330514,18531519,2198,8823015,0,0
8022,76610,4336852,1418,2015077,0,0
6428,309666,17569609,1114,8388707,0,0
13448,390109,21799891,2297,10303846,0,0
13419,372021,22391128,2240,10761432,0,0
15365,382505,22308850,2612,10608514,0,0
16699,360324,22228310,2874,10621706,0,0
19571,361152,21550573,3380,10268138,0,0
9796,90619,5750744,1669,2630952,0,0
5457,77915,4726766,927,2208048,0,0
19052,371167,21979239,3296,10385471,0,0
16149,359966,21743760,2854,10318751,0,0
16557,173157,10903721,2861,5018537,0,0
13743,355064,22005923,2469,10479135,0,0
9532,95968,5718382,1645,2643360,0,0
8144,179719,10905097,1310,5277793,0,0
8645,91976,5617906,1444,2646775,0,0
7296,184421,10892803,1181,5251581,0,0
44519,271720,16957116,7735,7814341,0,0
15804,372941,21928922,2912,10496969,0,0
16440,297415,16897364,2932,7938380,0,0
11521,196398,11212952,2086,5248289,0,0
7663,182395,10906276,1313,5134214,0,0
16745,386900,22211562,2974,10530433,0,0
14296,354875,22300944,2635,10541362,0,0
5706,39397,2360127,978,1064065,0,0
3817,137699,8239122,548,3927632,0,0
9419,364050,22167578,1598,10518172,0,0
8493,372250,21989152,1382,10488744,0,0
11573,196220,11117468,1944,5211697,0,0
10327,111583,6303250,1694,2893229,0,0
6473,381122,22001661,1094,10511833,0,0
11626,400850,22394321,1986,10560620,0,0
9101,410001,22330839,1513,10773578,0,0
11768,209035,11301826,1912,5281764,0,0
7943,184197,10899705,1319,5104752,0,0
14895,365344,22393495,2660,10631565,0,0
14612,382636,22201365,2459,10633075,0,0
14231,169177,10372403,2389,4869580,0,0
11165,387979,22321615,1882,10731453,0,0
14535,189406,11195266,2560,5245571,0,0
14457,354414,21572283,2668,10207267,0,0
13843,170061,10901432,2322,5082322,0,0
8029,166621,10693050,1367,5058516,0,0
13027,286284,16795121,2255,7967645,0,0
8684,95203,5716915,1452,2664181,0,0
6990,191798,10885391,1117,5228136,0,0
7622,98947,5701323,1279,2667358,0,0
6434,195118,10905355,1008,5210851,0,0
7333,96032,5710728,1245,2642178,0,0
29489,164631,10962823,5214,5110304,0,0
22710,377036,21926712,4007,10398619,0,0
17587,389490,22394532,3077,10560972,0,0
13214,185827,11105829,2284,5142635,0,0
6642,177657,10787314,1146,5093093,0,0
14251,381136,22000011,2617,10475562,0,0
10018,177104,11075386,1658,5190967,0,0
14134,362534,21994138,2520,10479842,0,0
5236,90174,5499735,915,2573104,0,0
10034,349746,21609107,1757,10234156,0,0
6763,186105,11297046,1079,5323363,0,0
10227,391044,22198607,1686,10615183,0,0
9310,299884,17531274,1695,8292915,0,0
7476,101229,5724955,1254,2641153,0,0
7884,301201,16613039,1382,7866277,0,0
13673,396027,21987248,2306,10373687,0,0
12775,401776,21563681,2141,10239270,0,0
13216,188177,10466574,2181,4823237,0,0
5732,192990,11072914,903,5205360,0,0
13955,351159,22318896,2466,10570326,0,0
13975,190748,11098078,2383,5170748,0,0
13099,410501,22185554,2180,10539933,0,0
