bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
122611,233903,22223857,12625,9203006,0,0
74017,172869,16963934,9957,7192870,0,0
144649,182718,21958983,14849,9468211,0,0
126594,266978,21579193,14815,8467898,0,0
98819,225759,21734615,14570,8976511,0,0
92306,92956,10479542,10738,4344645,0,0
90492,180632,16867618,9746,6985464,0,0
37226,48244,5626238,6340,2261166,0,0
86718,201864,16873418,11709,6666149,0,0
56327,122888,10327750,7282,4046381,0,0
127309,198486,22415692,16156,9568223,0,0
76951,107436,10437289,7614,4202289,0,0
108194,278281,22218926,15344,8745937,0,0
84412,192901,16971494,11562,6778105,0,0
140374,211568,21981551,14958,9311301,0,0
148617,263380,21485630,16139,8468786,0,0
41465,151310,10634926,6694,3979970,0,0
180271,241889,21988758,17787,8865128,0,0
131287,211246,16973050,12478,6505376,0,0
116261,273082,21918603,20108,8755406,0,0
50599,57762,5797106,9265,2015720,0,0
14724,194799,10329884,2194,3692399,0,0
126790,228117,16965078,14994,6442677,0,0
91222,180598,16331228,16665,6482563,0,0
95842,352534,22283864,12164,8525046,0,0
28624,76635,5801774,4914,2284126,0,0
53982,136119,11259279,9715,4522606,0,0
40332,160001,10850662,7052,4002128,0,0
109826,291638,21954004,14500,8897995,0,0
88851,206145,16933658,12423,6583230,0,0
71770,259943,22394057,13305,9473322,0,0
93024,103519,11352655,9333,4800605,0,0
128566,255176,22183324,13032,9108046,0,0
140247,286910,22386654,17893,8793066,0,0
100655,131812,11359234,13857,4324330,0,0
147007,255614,21539674,17090,8746120,0,0
42836,73573,5644779,4034,2190915,0,0
124668,275760,22291351,17500,9169875,0,0
70203,126668,11154363,12551,4352938,0,0
115091,334608,21973002,14735,8205506,0,0
90395,199522,16964934,16262,6860119,0,0
108680,296622,21944759,14996,8475869,0,0
87353,268913,21530430,15659,8959612,0,0
112710,288256,21714290,16340,8326275,0,0
88325,229046,21490368,16731,8935728,0,0
88556,263933,22013258,12795,9135740,0,0
132006,208105,21696851,19227,8890028,0,0
45455,105821,10387212,6160,4326545,0,0
116391,147559,16852708,16500,6948493,0,0
115062,269824,22452706,15914,8784685,0,0
35895,58299,4717885,4873,1821702,0,0
129093,201377,22292646,17459,9423506,0,0
72401,108950,11345588,8177,4672069,0,0
145421,242089,21752082,15182,8979253,0,0
120547,162747,16955095,10538,6920577,0,0
107389,190373,16965754,18624,6549698,0,0
121620,296500,21945247,16940,8593508,0,0
111273,295302,21514635,14697,8228059,0,0
113486,264685,21720904,17102,8545399,0,0
98572,254772,21520562,15941,8636079,0,0
106826,223560,21722203,17300,8884189,0,0
79699,106414,10441286,7903,4260753,0,0
61191,138222,11028362,7234,4408977,0,0
140979,205011,16954830,15774,6337004,0,0
61465,121911,10279808,7607,4122918,0,0
158473,243772,22429411,16571,9099927,0,0
124363,265600,21729306,17235,8681180,0,0
144922,362369,27112423,20898,10276682,0,0
108414,232955,21475185,20453,8575344,0,0
108802,289686,21732592,13716,8550547,0,0
100008,250832,21687238,15789,8673720,0,0
107560,211266,21544706,18627,8719119,0,0
117743,208979,21711358,12449,9323263,0,0
125166,217115,21484911,14002,8998912,0,0
135823,203474,21916535,14471,9403120,0,0
72656,128798,11166620,9575,4341579,0,0
121094,252510,21977204,18929,8594745,0,0
52808,106159,10941630,9687,4364586,0,0
