bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
97614,192704,21941290,17918,10751906,0,0
46750,96731,11118868,8121,5570488,0,0
71063,197589,21982658,12587,11419218,0,0
72304,200321,22399404,12761,11646888,0,0
85242,194530,22207865,14580,11335110,0,0
70574,143849,16350398,11966,8194879,0,0
49596,94090,10889382,8487,5377045,0,0
60728,198026,21960843,10674,11614876,0,0
25435,49481,5740093,4333,2853303,0,0
55960,198902,21994020,9917,11726699,0,0
39647,95906,10932954,6902,5600806,0,0
26282,99222,10879894,4747,5793380,0,0
45224,153160,16909589,7908,8962415,0,0
25455,49251,5737250,4405,2850090,0,0
27538,97345,10886746,4797,5811554,0,0
165686,129410,16387993,31826,6027597,0,0
168155,89521,11376010,25223,3581485,0,0
410620,199727,21677950,77125,6850522,0,0
81985,35968,5786820,11446,1605144,0,0
47967,58222,10840389,9923,4077963,0,0
32523,29136,5750982,6159,2231460,0,0
60075,68243,10913742,12083,3833744,0,0
34283,51537,5748474,6187,2595789,0,0
51176,93457,10874206,9149,5303908,0,0
55101,200354,21882566,10038,11640077,0,0
45543,96629,11114766,7996,5583545,0,0
56274,148417,16594522,9960,8558759,0,0
78980,193898,21959814,13797,11263089,0,0
55842,96960,11341695,9387,5570195,0,0
86928,194865,21951591,14915,11127648,0,0
30515,48585,5737545,5137,2758316,0,0
60116,197733,21967898,10522,11638169,0,0
24691,49287,5735318,4183,2870314,0,0
28411,98543,10885755,4976,5781658,0,0
25491,49298,5739685,4330,2859243,0,0
27154,98969,10866435,4745,5792621,0,0
55511,203153,22399170,9980,11952804,0,0
40474,147522,16328350,7327,8708019,0,0
37600,97230,11126992,6588,5761338,0,0
253145,160885,22023468,47148,7304379,0,0
89321,49971,5775706,11841,1984386,0,0
437939,206357,22028566,80601,6756509,0,0
125510,124596,22412066,23148,8230562,0,0
114957,169277,22205862,21856,9513097,0,0
45303,94523,10858214,7884,5435912,0,0
68408,197038,21970917,12222,11448262,0,0
31170,48593,5743814,5329,2747618,0,0
69722,196884,21955052,12315,11435378,0,0
30164,48117,5651229,5223,2707331,0,0
83374,191550,21764904,14296,11099343,0,0
35151,48109,5744534,5837,2679253,0,0
42962,96294,10864262,7333,5498180,0,0
31763,48185,5735842,5349,2735140,0,0
34023,98379,10886779,5867,5672856,0,0
26151,49255,5744694,4409,2852752,0,0
28774,97508,10861466,4948,5772613,0,0
46928,200341,21925530,8525,11840129,0,0
26663,48930,5711756,4516,2823293,0,0
20338,43237,4938523,3535,2488174,0,0
37687,154712,16822938,6881,9026906,0,0
24868,49463,5734730,4275,2858012,0,0
26410,99750,10875422,4578,5816401,0,0
25226,48934,5738221,4334,2857337,0,0
28139,97381,10879284,4924,5801036,0,0
62815,28312,5773906,10687,1976487,0,0
124795,97935,10760796,24901,3689585,0,0
371158,196402,21772524,63024,6600322,0,0
223084,93769,11203282,40339,3700012,0,0
122364,122718,22159906,22807,8150694,0,0
114823,165607,21953072,22002,9312383,0,0
50030,96058,11138258,8597,5521731,0,0
67598,197023,21933180,12054,11462636,0,0
47333,94937,10871809,8251,5404295,0,0
70025,199471,22197472,12400,11566720,0,0
32015,47300,5736554,5392,2739768,0,0
85008,195038,21963873,14438,11200546,0,0
32405,47623,5667051,5499,2693837,0,0
41682,95733,10770834,7198,5456208,0,0
