bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
484223,440926,22406667,93916,1659478,0,1
101108,152378,5782237,22510,457836,0,1
171166,309414,11039463,42007,899713,0,1
333106,605092,21440743,81740,1738494,0,1
185067,313752,11380294,43314,974213,0,1
344777,616834,21754559,81920,1979648,0,1
268630,470956,16956528,63649,1440073,0,1
317845,388872,16990223,67909,1449091,0,1
287604,139956,10881472,49403,605026,0,1
274990,478912,16966401,58970,2190707,0,1
259566,178807,11309166,49135,779034,0,1
223768,226787,10853469,43051,1026518,0,1
285508,441572,16978292,62903,1974547,0,1
455750,483433,22437169,89329,2104642,0,1
284142,148943,11112078,50497,623998,0,1
337201,585897,21425021,76409,2676191,0,1
300604,134490,11105374,52586,541090,0,1
367248,589302,22207323,81075,2757961,0,1
372163,317247,16870790,69758,1444297,0,1
93603,160001,5712767,20363,756159,0,1
196112,243854,10776350,41927,1127815,0,1
366319,329009,16880061,69600,1483070,0,1
384646,543482,21407446,81171,2196151,0,1
292877,137311,11157373,51294,579020,0,1
367628,596973,22223366,81089,2682675,0,1
379028,323632,16992114,71270,1427993,0,1
370953,603221,21987761,81741,2359152,0,1
408830,263573,16880882,73921,1131515,0,1
401111,560417,22414669,85079,2484240,0,1
254132,221018,11382188,47225,986623,0,1
177548,310414,11073705,39342,1445719,0,1
263964,242120,11252165,45741,1073140,0,1
149149,65100,5647105,26575,280710,0,1
394914,551014,21426909,81840,2428354,0,1
248424,202400,11198738,47455,883984,0,1
450155,519611,22205723,87173,2243115,0,1
367150,313643,16972117,71385,1326615,0,1
299235,443608,16991546,63539,1866698,0,1
310122,410201,16907750,66569,1600806,0,1
445841,485844,21951298,88678,1926661,0,1
264685,489085,16966357,61651,1854959,0,1
409437,257500,16995144,75913,1003901,0,1
171563,325035,10834124,37348,1456987,0,1
461750,466133,22330422,90601,2058715,0,1
192063,328555,11390835,40142,1552811,0,1
442981,458055,21506829,87504,2038061,0,1
114411,142525,5799463,22074,675739,0,1
153669,343014,10831651,35549,1616136,0,1
482208,422542,21971765,91891,1857836,0,1
169559,353289,11243759,37922,1639390,0,1
473259,443813,22286666,92087,1950963,0,1
177574,336169,11182359,38584,1577381,0,1
487494,439741,22227478,93567,1948758,0,1
247435,530355,16874805,56511,2449451,0,1
468606,409262,21352644,89827,1787821,0,1
171084,348626,11384278,38656,1624377,0,1
254988,175861,10884006,48031,767396,0,1
231874,241772,11083267,44536,1111578,0,1
412195,539796,22414498,85897,2428258,0,1
242033,238805,11376074,45861,1085884,0,1
162822,332344,11077704,38028,1520502,0,1
98410,128367,5390979,21302,558233,0,1
390513,284708,16844533,72667,1239336,0,1
433733,565436,22441094,86078,2427476,0,1
467391,453842,21973639,90634,1810795,0,1
167820,302484,10471214,38087,1167073,0,1
92203,159225,5703159,20841,640810,0,1
251376,201286,11391417,48708,819854,0,1
247945,208737,11084342,46907,805087,0,1
269805,495934,16965511,62108,1872827,0,1
268685,491305,16977194,62618,1777204,0,1
475836,393950,21436119,92280,1429265,0,1
181443,312429,11177920,41632,1082956,0,1
94974,147588,5392703,21058,472464,0,1
263353,480982,16873793,63746,1534923,0,1
265673,481941,16964236,61813,1816862,0,1
497577,417021,22413458,95953,1617504,0,1
331939,611472,21500506,78669,2277847,0,1
255862,177925,10991821,48237,741067,0,1
237556,214277,10822191,45055,908175,0,1
279038,476983,16971865,62834,1903015,0,1
473678,393351,21426801,91772,1568023,0,1
176938,323136,11155377,39629,1397193,0,1
477332,443168,22224898,92950,1933012,0,1
101129,159804,5652088,20726,695964,0,1
161322,348535,11222056,38234,1569907,0,1
399141,309560,16977788,71048,1375333,0,1
393398,531582,21436268,83176,2152736,0,1
100873,153383,5765993,21583,671889,0,1
482593,403626,21728016,92132,1713088,0,1
165360,297375,10505906,37463,1359504,0,1
244504,172048,10817438,47010,748672,0,1
398636,567717,22409102,84763,2478943,0,1
494445,424901,22439758,95091,1782991,0,1
436132,471319,22166698,89580,2058344,0,1
374625,596048,22219246,81863,2630004,0,1
493714,388912,21508338,91793,1665526,0,1
173488,312827,10920837,38651,1452966,0,1
479286,398633,21510924,90772,1737439,0,1
448512,479410,22325531,90364,2070992,0,1
367161,582879,21496365,79728,2558247,0,1
410205,263733,16963486,75291,1117763,0,1
264905,495076,16972961,61024,2190968,0,1
411301,275392,16987630,75378,1174914,0,1
350437,620131,21984911,82288,2149805,0,1
273568,471920,16916250,64592,1510854,0,1
383992,520643,21432868,86395,1641494,0,1
268184,184352,11167885,48969,677405,0,1
182693,314989,11286822,42865,1067250,0,1
182850,311620,11286351,42076,1159895,0,1
169132,301985,10852109,40418,1051245,0,1
421104,570509,22402102,87281,1799040,0,1
351439,577281,21503610,83315,1827601,0,1
477024,450897,22412662,93125,1767745,0,1
187567,314428,11390493,42934,1121077,0,1
172319,285740,10338670,39287,1005017,0,1
243235,232746,11235723,46219,940257,0,1
391417,301882,16973329,72336,1324976,0,1
343701,595512,21438368,81756,1851053,0,1
186071,306421,11190154,42777,999874,0,1
265215,464357,16599852,62947,1439716,0,1
334574,603871,21472548,80743,1870337,0,1
98872,153389,5789564,22109,504563,0,1
173280,292262,10662119,40405,858182,0,1
184627,273893,11047224,43261,862872,0,1
469714,459973,22411491,92208,1841212,0,1
459636,440521,21522443,87991,1936692,0,1
325831,402303,16902578,65975,1791462,0,1
486323,409547,21931610,93723,1760677,0,1
211917,245928,10466832,40309,1158472,0,1
473036,439263,22217942,91507,1927091,0,1
270017,481768,16883573,59854,2211275,0,1
470582,401619,21439577,90482,1743544,0,1
170546,335963,11180338,38654,1557795,0,1
487864,432630,22194090,94135,1884447,0,1
268799,472650,16997994,60879,2141609,0,1
465429,457776,21943640,89996,1985396,0,1
88438,122359,4716249,18033,508840,0,1
220755,237385,10859814,42937,1094778,0,1
455846,482864,22195392,89124,2136971,0,1
93923,167381,5797806,20575,790368,0,1
247779,157177,10367981,46733,680054,0,1
389279,576399,22005243,82202,2580376,0,1
492362,430953,22413556,94601,1821927,0,1
385718,522232,21510506,82584,2218444,0,1
338065,385998,16981085,67050,1612059,0,1
437152,472260,21928770,88306,2009639,0,1
209558,281831,11257417,42551,1243833,0,1
275239,394139,15889010,59944,1774503,0,1
278138,165791,11152351,49793,729392,0,1
371387,585947,22049011,81848,2653833,0,1
283941,170022,11393794,50588,743482,0,1
173457,332814,11293854,39352,1538505,0,1
209938,259507,11293522,44142,1174622,0,1
275524,148453,10864049,49092,647103,0,1
261148,508918,16968882,59337,2317467,0,1
477182,411970,21439663,91775,1759024,0,1
180553,320706,11184924,39461,1466730,0,1
490519,412272,22200401,94763,1618808,0,1
292156,448322,16982949,63979,1712385,0,1
411450,535224,21896683,85341,2111368,0,1
369133,330225,16975084,71075,1287587,0,1
359684,629174,22411862,85624,1902868,0,1
186373,313310,11266403,43157,1001446,0,1
344874,634283,22282533,84136,1992420,0,1
171129,285786,10464382,39649,932812,0,1
432830,477284,22019036,90368,1589614,0,1
318979,407521,16966654,67267,1363074,0,1
269608,470632,16981566,63944,1453234,0,1
328303,421519,16904006,64753,1595961,0,1
165856,300128,10787466,38463,1287596,0,1
405440,285544,16977524,74548,1187879,0,1
406722,597961,22432617,84312,2329277,0,1
168783,301764,10904412,39890,1077895,0,1
368693,587922,22284135,82931,2213520,0,1
98043,152711,5808317,21761,561949,0,1
178296,294508,10944686,40544,1049268,0,1
167976,295068,10812525,40584,901206,0,1
360470,370742,16971218,69292,1392093,0,1
449562,448819,21417557,87778,1944936,0,1
177214,326618,11386277,40903,1305106,0,1
263212,147937,10789918,48415,611538,0,1
219294,247993,11086427,43638,1040201,0,1
390047,556766,22419294,84839,2332671,0,1
434232,509432,22208479,87317,2063995,0,1
167479,298914,10650158,38940,1134892,0,1
202976,267428,11302594,44846,1007230,0,1
293913,151649,11383304,51959,606864,0,1
171545,302144,10838496,40292,993697,0,1
390592,608680,22411216,82995,2439022,0,1
236677,211837,11174143,46001,972451,0,1
243288,187578,10601478,44684,858194,0,1
259390,481055,16887191,59136,2276703,0,1
280735,124737,10787008,49922,523207,0,1
358853,606481,22346985,80291,2863095,0,1
